country_name,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Australia,0.0,22.26,26.62,26.96,30.52,25.78,35.79,27.77,40.1,33.53,32.83,35.34,31.87,38.97,37.75,40.88,39.92,36.3,50.61,48.65,41.57,51.68,40.28,60.38,59.84,58.66,58.41,51.95,57.51,58.71,59.46,56.17,67.34,69.05,54.3,72.52,87.13,85.51,92.93,100.81,96.4,97.6,100.63,64.65,100.44,96.5,103.06,62.79,74.79,88.68,90.97,107.76,120.76,110.85,109.06,110.24,107.12,0.0,0.0
Austria,0.0,89.42,79.19,90.96,96.58,67.72,86.91,91.49,99.17,93.38,92.22,85.66,81.24,89.86,88.86,89.09,91.19,84.41,91.88,87.88,96.48,84.97,111.76,95.0,96.32,87.55,89.84,84.92,101.54,91.98,93.12,91.38,83.48,86.22,87.25,90.04,86.73,93.25,95.48,98.95,94.44,97.33,96.98,91.61,105.35,98.63,96.02,100.5,112.02,105.31,85.39,103.12,86.49,85.98,100.08,85.55,90.82,0.0,0.0
Azerbaijan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92.45,74.72,64.83,57.77,64.96,53.62,54.66,60.72,71.17,80.64,84.61,89.63,88.72,106.65,104.63,103.02,107.48,110.8,100.75,110.55,115.89,119.06,109.33,120.98,122.48,0.0,0.0
Burundi,0.0,54.84,54.68,54.67,60.44,60.02,60.23,62.92,64.41,63.39,64.82,66.8,59.7,67.76,63.19,68.03,69.11,71.25,66.41,67.53,65.86,73.58,69.91,69.98,68.81,79.34,82.71,85.61,87.52,82.02,89.05,91.74,94.17,91.11,79.59,82.82,84.56,84.75,78.91,82.02,85.82,93.84,106.28,94.92,107.37,91.14,101.49,93.05,101.09,98.73,107.41,100.41,86.32,127.93,106.22,98.08,105.19,0.0,0.0
Belgium,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,102.31,89.02,97.79,98.03,108.78,100.89,90.33,95.35,92.66,99.95,98.67,100.03,88.36,94.55,105.59,99.96,88.74,0.0,0.0
Benin,0.0,20.36,18.45,18.3,19.25,20.1,18.95,21.27,23.52,22.45,23.88,24.45,24.64,25.08,22.43,21.55,25.71,24.56,27.47,29.22,26.66,25.71,26.2,26.18,35.9,35.41,40.09,33.19,42.52,44.41,47.18,54.12,52.16,59.07,60.37,66.7,75.56,79.91,81.78,84.86,91.55,91.16,111.31,103.07,109.26,104.36,86.38,89.63,115.48,115.84,119.62,131.93,140.04,154.38,161.42,150.96,157.59,0.0,0.0
Burkina Faso,0.0,17.0,19.42,19.42,21.76,20.85,22.13,22.95,25.06,24.19,24.11,21.79,21.73,20.57,25.37,29.22,26.14,26.37,29.22,30.98,28.08,32.2,32.42,32.13,32.49,42.54,50.81,44.69,53.05,50.12,45.89,57.42,58.48,59.77,56.61,56.62,64.45,61.83,75.0,74.18,58.86,83.53,86.34,97.11,85.37,105.61,109.02,79.81,122.83,102.98,124.01,105.42,132.04,146.62,145.03,138.12,144.9,0.0,0.0
Bangladesh,0.0,39.19,36.83,41.89,41.76,42.58,40.32,46.18,46.63,49.14,46.12,41.53,41.45,46.36,43.83,48.96,46.43,50.29,51.31,50.26,53.47,53.0,55.21,56.48,56.73,59.15,59.94,59.1,59.16,65.44,65.77,67.33,67.95,67.19,63.9,66.21,70.06,70.67,73.25,84.26,90.6,88.29,90.56,92.86,90.29,103.06,106.65,113.06,122.16,123.08,130.52,135.07,135.53,138.16,142.45,142.79,146.42,0.0,0.0
Bulgaria,0.0,113.98,127.63,134.38,139.22,143.2,166.8,156.9,157.28,165.42,161.0,160.77,170.3,168.4,157.23,159.59,174.0,153.24,163.83,167.47,155.09,174.16,187.43,157.24,178.42,135.11,163.45,150.01,151.76,164.6,147.3,142.72,124.53,91.03,108.06,124.07,88.68,107.47,100.43,99.39,85.91,93.94,103.11,91.6,125.04,85.54,89.41,70.21,105.75,94.84,112.62,110.98,96.83,125.2,125.14,123.43,128.08,0.0,0.0
Bahrain,0.0,73.47,73.64,74.79,74.79,75.01,73.77,74.49,75.07,75.58,76.52,77.22,78.79,78.79,85.68,121.04,158.86,200.15,201.36,201.81,204.45,91.82,73.85,75.3,76.4,84.6,89.39,98.83,98.79,98.61,61.59,65.48,74.61,80.0,92.5,110.22,110.44,109.49,128.04,111.99,110.22,106.97,95.06,97.93,94.43,85.75,119.81,111.03,109.4,109.18,108.32,105.38,105.41,104.69,104.28,103.88,103.56,0.0,0.0
"Bahamas, The",0.0,38.56,40.4,42.7,44.14,45.61,49.08,52.35,52.79,53.11,58.0,54.89,63.13,63.86,65.62,68.38,75.66,75.14,73.76,74.03,73.83,79.94,77.81,74.38,78.21,75.46,73.35,73.87,75.24,78.82,78.06,72.23,67.77,68.32,69.28,74.01,73.95,78.03,81.5,88.28,87.2,91.28,87.95,92.57,98.99,97.77,103.25,109.29,109.73,102.02,132.23,136.17,136.42,137.38,140.13,141.21,142.73,0.0,0.0
Bosnia and Herzegovina,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.57,69.47,61.61,61.06,64.62,79.67,85.84,83.48,64.97,73.86,80.22,72.69,103.54,96.43,100.03,93.98,102.37,106.58,97.53,99.47,83.0,110.08,83.04,98.96,118.3,0.0,0.0
Belarus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.88,102.37,70.52,76.42,87.81,69.17,66.07,59.32,75.87,74.78,79.36,85.36,105.59,94.44,99.97,104.65,119.94,112.09,109.03,100.88,112.27,96.56,114.07,102.45,100.5,0.0,0.0
Belize,0.0,13.79,11.24,12.39,15.63,16.67,19.68,22.31,25.46,23.28,25.49,26.61,27.77,29.63,32.84,30.29,28.03,35.33,40.42,36.41,42.43,41.89,44.93,40.5,40.44,39.82,40.74,46.61,44.37,49.6,53.61,51.13,62.46,67.75,64.17,70.24,76.66,84.38,78.04,84.95,97.47,93.11,83.66,87.41,98.49,102.0,99.52,99.22,95.14,95.34,97.37,87.05,106.74,98.44,101.07,98.79,91.93,0.0,0.0
Bermuda,0.0,73.69,64.23,76.41,80.87,85.99,83.02,73.96,72.11,56.73,87.94,59.01,52.65,67.92,74.26,73.94,76.15,72.29,75.18,75.85,67.96,71.2,74.66,74.33,70.66,74.07,73.28,72.7,80.62,94.79,92.37,93.77,93.78,93.95,94.46,98.85,88.36,95.42,100.34,103.28,105.12,106.62,94.79,101.49,100.49,98.52,100.99,106.02,107.63,113.87,113.0,114.55,120.41,116.38,116.17,114.73,113.95,0.0,0.0
Bolivia,0.0,20.93,21.73,23.68,24.57,25.92,27.0,28.0,30.95,30.54,31.86,33.44,35.84,40.42,40.89,43.44,43.61,41.49,40.9,39.88,41.31,42.83,44.39,30.67,42.39,48.44,50.46,51.45,52.44,53.21,53.62,58.78,56.25,60.82,64.81,71.86,75.17,76.45,78.32,79.1,85.03,87.94,91.52,97.87,94.73,101.32,103.95,103.8,102.85,122.58,114.62,117.48,134.37,141.81,145.69,155.44,153.92,0.0,0.0
Brazil,0.0,23.31,24.67,24.82,24.47,29.29,26.84,29.56,29.61,30.41,31.12,33.58,34.71,32.75,36.25,36.6,37.55,41.21,39.41,41.11,45.45,47.54,48.78,47.47,52.22,58.65,53.93,59.99,60.94,63.55,59.02,60.09,64.06,62.89,68.28,70.17,65.71,70.41,71.17,75.81,77.55,82.35,87.29,95.49,98.99,97.95,103.06,112.28,121.77,118.93,126.69,135.56,130.91,140.64,142.82,148.49,142.65,0.0,0.0
Barbados,0.0,271.58,283.53,326.17,289.42,329.93,298.02,347.76,272.62,251.38,286.9,249.33,217.89,207.69,188.81,173.05,183.67,208.15,185.73,211.75,242.11,197.96,171.95,156.94,167.5,160.79,181.28,146.38,145.6,123.38,131.38,129.71,119.42,106.87,106.15,109.26,136.33,132.35,113.62,125.07,128.67,107.22,106.34,104.33,95.51,109.54,94.95,96.0,82.88,92.82,74.58,79.82,75.45,61.45,59.03,52.28,45.71,0.0,0.0
Brunei Darussalam,0.0,90.44,88.06,78.28,76.8,66.61,65.46,71.56,67.24,78.08,76.91,64.87,63.6,81.74,101.02,101.09,86.79,72.58,72.14,74.09,70.54,70.12,72.34,77.41,69.56,53.4,56.52,55.02,59.56,56.63,60.87,60.22,57.81,63.79,65.91,72.02,75.69,73.13,69.79,81.55,90.89,93.23,95.16,99.38,111.06,99.29,89.65,89.4,91.33,93.48,96.48,99.63,101.73,101.65,97.94,97.49,96.87,0.0,0.0
